Identificador ̼nico de la manzana,Uso
002551005,OTROS
002551003,RESIDENCIAL
002434037,RESIDENCIAL
004616002,RESIDENCIAL
009236099,OTROS
006202004,RESIDENCIAL
008418021,RESIDENCIAL
001315071,RESIDENCIAL
002430018,RESIDENCIAL
002430030,RESIDENCIAL
,
,
007207009,OFICINAS
008106022,RESIDENCIAL
007208020,RESIDENCIAL
008538013,RESIDENCIAL
002546012,RESIDENCIAL
008538082,RESIDENCIAL
008538083,RESIDENCIAL
008538086,RESIDENCIAL
004538073,RESIDENCIAL
001355086,RESIDENCIAL
004538065,RESIDENCIAL
006514040,RESIDENCIAL
004520078,RESIDENCIAL
006514084,RESIDENCIAL
004595082,RESIDENCIAL
008518001,RESIDENCIAL
004547002,OTROS
004546048,RESIDENCIAL
005614022,RESIDENCIAL
005614020,RESIDENCIAL
005614025,RESIDENCIAL
005614035,RESIDENCIAL
002569085,OTROS
005648015,RESIDENCIAL
002592017,RESIDENCIAL
002433006,RESIDENCIAL
002438085,OTROS
002433005,RESIDENCIAL
002433008,RESIDENCIAL
002433009,RESIDENCIAL
001430036,RESIDENCIAL
001430042,RESIDENCIAL
008540004,RESIDENCIAL
005648007,RESIDENCIAL
002506083,RESIDENCIAL
002435046,RESIDENCIAL
002435049,RESIDENCIAL
004501056,RESIDENCIAL
004501061,RESIDENCIAL
004501062,RESIDENCIAL
004501066,RESIDENCIAL
008104010,RESIDENCIAL
004106029,RESIDENCIAL
006403020,COMERCIO
008104012,RESIDENCIAL
006405035,RESIDENCIAL
002568019,RESIDENCIAL
005612041,RESIDENCIAL
005510023,RESIDENCIAL
001353038,RESIDENCIAL
001353017,RESIDENCIAL
004559078,RESIDENCIAL
003208044,RESIDENCIAL
009257075,RESIDENCIAL
009257076,RESIDENCIAL
005638043,RESIDENCIAL
004579078,RESIDENCIAL
005629014,RESIDENCIAL
009230032,RESIDENCIAL
001321074,RESIDENCIAL
002528024,RESIDENCIAL
005666002,RESIDENCIAL
002528075,RESIDENCIAL
002308046,RESIDENCIAL
004206050,RESIDENCIAL
002564001,RESIDENCIAL
004637026,RESIDENCIAL
006406042,RESIDENCIAL
006515079,RESIDENCIAL
005665071,RESIDENCIAL
005665095,OTROS
008112012,RESIDENCIAL
005665056,RESIDENCIAL
001330096,OTROS
,
,
002431054,RESIDENCIAL
002428092,RESIDENCIAL
004201019,OTROS
002573097,RESIDENCIAL
004540039,RESIDENCIAL
009124022,RESIDENCIAL
005663018,OTROS
005663017,RESIDENCIAL
005614024,RESIDENCIAL
004557089,OTROS
007308013,RESIDENCIAL
001407009,RESIDENCIAL
004617046,OTROS
006212036,BODEGAS
008538008,RESIDENCIAL
004405059,OTROS
004525031,RESIDENCIAL
008538004,RESIDENCIAL
005510007,RESIDENCIAL
002554055,RESIDENCIAL
004561037,RESIDENCIAL
006404048,OTROS
006510026,RESIDENCIAL
004501006,RESIDENCIAL
002585021,OTROS
004507039,RESIDENCIAL
006316004,OTROS
008205017,OTROS
008205019,RESIDENCIAL
008205026,OTROS
008205031,OTROS
008205036,RESIDENCIAL
002583020,RESIDENCIAL
004501068,RESIDENCIAL
005616044,RESIDENCIAL
002103005,RESIDENCIAL
002103018,RESIDENCIAL
002532098,OTROS
005201041,RESIDENCIAL
002578056,RESIDENCIAL
002429041,RESIDENCIAL
005617058,RESIDENCIAL
005629003,RESIDENCIAL
005629007,RESIDENCIAL
005629008,RESIDENCIAL
009227021,RESIDENCIAL
002430079,RESIDENCIAL
001412094,RESIDENCIAL
008313013,RESIDENCIAL
005601014,OFICINAS
004535041,RESIDENCIAL
001332051,OTROS
007107022,RESIDENCIAL
007107005,RESIDENCIAL
009233089,RESIDENCIAL
001335005,RESIDENCIAL
001335049,RESIDENCIAL
002561007,RESIDENCIAL
004516036,RESIDENCIAL
001328020,RESIDENCIAL
004507062,RESIDENCIAL
004616018,RESIDENCIAL
004616021,OTROS
004637029,RESIDENCIAL
001327005,RESIDENCIAL
004616046,RESIDENCIAL
002580055,OTROS
004616049,RESIDENCIAL
004616067,RESIDENCIAL
004575041,RESIDENCIAL
,
002595080,RESIDENCIAL
006518013,RESIDENCIAL
006409031,RESIDENCIAL
006409001,RESIDENCIAL
002525006,RESIDENCIAL
002407027,RESIDENCIAL
002447003,RESIDENCIAL
004512027,RESIDENCIAL
004568009,RESIDENCIAL
004605034,RESIDENCIAL
005622011,RESIDENCIAL
001102038,RESIDENCIAL
001328093,RESIDENCIAL
001419075,RESIDENCIAL
001429013,RESIDENCIAL
009256056,RESIDENCIAL
005606031,RESIDENCIAL
004514063,RESIDENCIAL
004524055,RESIDENCIAL
006205029,BODEGAS
004524072,OTROS
004524048,RESIDENCIAL
002435023,RESIDENCIAL
002435029,RESIDENCIAL
008407039,RESIDENCIAL
002308039,RESIDENCIAL
